type, gen_len, x(num_reads, y(read_length), setup_time, match_time, base_memory, setup_memory, k, c
ebwt, 1000000, 10000, 100, 12.232298560003983, 1.4841116980096558, 30771792, 66028083, 16, 4
ebwt, 1000000, 10000, 100, 12.233704614001908, 1.6662612689979142, 30771792, 54476139, 16, 8
ebwt, 1000000, 10000, 100, 12.27807737600233, 2.040233249004814, 30771741, 46315104, 16, 16
ebwt, 1000000, 10000, 100, 12.304984578004223, 2.7662991550023435, 30771841, 41640020, 16, 32
ebwt, 1000000, 10000, 100, 12.234540007004398, 4.1689663319994, 30771741, 39267188, 16, 64
ebwt, 1000000, 10000, 100, 12.317557874004706, 7.126850241998909, 30771844, 38080667, 16, 128
ebwt, 1000000, 10000, 100, 12.266249239997705, 1.2525278530083597, 30771792, 101805147, 32, 1
ebwt, 1000000, 10000, 100, 12.286978641990572, 1.4262114120065235, 30771792, 78292451, 32, 2
ebwt, 1000000, 10000, 100, 12.277721902995836, 1.5165392339986283, 30771690, 62952525, 32, 4
ebwt, 1000000, 10000, 100, 12.229803060996346, 1.7163324900029693, 30771690, 51419621, 32, 8
ebwt, 1000000, 10000, 100, 12.240777511004126, 2.061046532995533, 30771843, 43256410, 32, 16
ebwt, 1000000, 10000, 100, 12.296553744003177, 2.841709369997261, 30771843, 38580078, 32, 32
ebwt, 1000000, 10000, 100, 12.21357462501328, 4.428208858997095, 30771841, 36207008, 32, 64
ebwt, 1000000, 10000, 100, 12.306890434003435, 7.398145731000113, 30771842, 35020273, 32, 128
ebwt, 1000000, 10000, 100, 12.233353458999773, 1.3648261619964615, 30771792, 100209231, 64, 1
ebwt, 1000000, 10000, 100, 12.259209331008606, 1.5151656639936846, 30771792, 76712579, 64, 2
ebwt, 1000000, 10000, 100, 12.23559887301235, 1.6342532990092877, 30771792, 61377095, 64, 4
ebwt, 1000000, 10000, 100, 12.284552916986286, 1.8532629969995469, 30771690, 49830341, 64, 8
ebwt, 1000000, 10000, 100, 12.301776469001197, 2.2894730450061616, 30771841, 41659736, 64, 16
ebwt, 1000000, 10000, 100, 12.25364739500219, 3.054282388999127, 30771843, 36984246, 64, 32
ebwt, 1000000, 10000, 100, 12.255953695988865, 4.728633345002891, 30771843, 34611290, 64, 64
ebwt, 1000000, 10000, 100, 12.274030793007114, 8.093537319000461, 30771844, 33424695, 64, 128
ebwt, 1000000, 10000, 100, 12.214770193008007, 1.5810658799891826, 30771793, 99477008, 128, 1
ebwt, 1000000, 10000, 100, 12.25740992599458, 1.766842783006723, 30771793, 75992312, 128, 2
ebwt, 1000000, 10000, 100, 12.24815884399868, 1.9175810979941161, 30771691, 60631274, 128, 4
ebwt, 1000000, 10000, 100, 12.299571149007534, 2.1388466930075083, 30771791, 49102250, 128, 8
ebwt, 1000000, 10000, 100, 12.237934671997209, 2.665306506009074, 30771844, 40928411, 128, 16
ebwt, 1000000, 10000, 100, 12.281156850003754, 3.5613214619952487, 30771844, 36251743, 128, 32
ebwt, 1000000, 10000, 100, 12.210580397993908, 5.387077273000614, 30771844, 33878983, 128, 64
ebwt, 1000000, 10000, 100, 12.28498003599816, 9.105879423994338, 30771845, 32692192, 128, 128
